UNIPROT_ID	Name	Species
M3K13_HUMAN	mitogen-activated protein kinase kinase kinase 13(MAP3K13)	Homo sapiens
LYPD4_HUMAN	LY6/PLAUR domain containing 4(LYPD4)	Homo sapiens
KTI12_HUMAN	KTI12 chromatin associated homolog(KTI12)	Homo sapiens
TRFM_HUMAN	melanotransferrin(MELTF)	Homo sapiens
LRC53_HUMAN	leucine rich repeat containing 53(LRRC53)	Homo sapiens
NAR3_HUMAN	ADP-ribosyltransferase 3(ART3)	Homo sapiens
MGAT1_HUMAN	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase(MGAT1)	Homo sapiens
NAR4_HUMAN	ADP-ribosyltransferase 4 (Dombrock blood group)(ART4)	Homo sapiens
PI16_HUMAN	peptidase inhibitor 16(PI16)	Homo sapiens
CG071_HUMAN	chromosome 7 open reading frame 71(C7orf71)	Homo sapiens
TS1R3_HUMAN	taste 1 receptor member 3(TAS1R3)	Homo sapiens
FGD2_HUMAN	FYVE, RhoGEF and PH domain containing 2(FGD2)	Homo sapiens
ATM_HUMAN	ATM serine/threonine kinase(ATM)	Homo sapiens
MMP19_HUMAN	matrix metallopeptidase 19(MMP19)	Homo sapiens
ATF1_HUMAN	activating transcription factor 1(ATF1)	Homo sapiens
RABE1_HUMAN	rabaptin, RAB GTPase binding effector protein 1(RABEP1)	Homo sapiens
ANT3_HUMAN	serpin family C member 1(SERPINC1)	Homo sapiens
KCNQ4_HUMAN	potassium voltage-gated channel subfamily Q member 4(KCNQ4)	Homo sapiens
UBFL1_HUMAN	upstream binding transcription factor, RNA polymerase I-like 1(UBTFL1)	Homo sapiens
PRPF3_HUMAN	pre-mRNA processing factor 3(PRPF3)	Homo sapiens
P2RX6_HUMAN	purinergic receptor P2X 6(P2RX6)	Homo sapiens
MOV10_HUMAN	Mov10 RISC complex RNA helicase(MOV10)	Homo sapiens
SMC3_HUMAN	structural maintenance of chromosomes 3(SMC3)	Homo sapiens
PDLI1_HUMAN	PDZ and LIM domain 1(PDLIM1)	Homo sapiens
MOT4_HUMAN	solute carrier family 16 member 3(SLC16A3)	Homo sapiens
AFAD_HUMAN	afadin, adherens junction formation factor(AFDN)	Homo sapiens
K2C75_HUMAN	keratin 75(KRT75)	Homo sapiens
AFF1_HUMAN	AF4/FMR2 family member 1(AFF1)	Homo sapiens
TMC4_HUMAN	transmembrane channel like 4(TMC4)	Homo sapiens
