ID	Gene Name	Species
YH006_HUMAN	Putative chemokine-related protein FP248(FP248)	Homo sapiens	
RSPO4_HUMAN	R-spondin 4(RSPO4)	Homo sapiens	
RAB18_HUMAN	RAB18, member RAS oncogene family(RAB18)	Homo sapiens	
RALYL_HUMAN	RALY RNA binding protein-like(RALYL)	Homo sapiens	
RASEF_HUMAN	RAS and EF-hand domain containing(RASEF)	Homo sapiens	
RSLAA_HUMAN	RAS like family 10 member A(RASL10A)	Homo sapiens	
RIM3A_HUMAN	RIMS binding protein 3(RIMBP3)	Homo sapiens	
RIM3B_HUMAN	RIMS binding protein 3B(RIMBP3B)	Homo sapiens	
RIM3C_HUMAN	RIMS binding protein 3C(RIMBP3C)	Homo sapiens	
RBM3_HUMAN	RNA binding motif (RNP1, RRM) protein 3(RBM3)	Homo sapiens	
RB12B_HUMAN	RNA binding motif protein 12B(RBM12B)	Homo sapiens	
RBM19_HUMAN	RNA binding motif protein 19(RBM19)	Homo sapiens	
RPAP2_HUMAN	RNA polymerase II associated protein 2(RPAP2)	Homo sapiens	
RPAP3_HUMAN	RNA polymerase II associated protein 3(RPAP3)	Homo sapiens	
RTF1_HUMAN	RTF1 homolog, Paf1/RNA polymerase II complex component(RTF1)	Homo sapiens	
RUFY3_HUMAN	RUN and FYVE domain containing 3(RUFY3)	Homo sapiens	
RADIL_HUMAN	Rap associating with DIL domain(RADIL)	Homo sapiens	
RIN2_HUMAN	Ras and Rab interactor 2(RIN2)	Homo sapiens	
RAPH1_HUMAN	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1(RAPH1)	Homo sapiens	
RASF7_HUMAN	Ras association domain family member 7(RASSF7)	Homo sapiens	
RGF1B_HUMAN	RasGEF domain family member 1B(RASGEF1B)	Homo sapiens	
RECQ4_HUMAN	RecQ like helicase 4(RECQL4)	Homo sapiens	
RECQ1_HUMAN	RecQ like helicase(RECQL)	Homo sapiens	
RHGBB_HUMAN	Rho GTPase activating protein 11B(ARHGAP11B)	Homo sapiens	
RHG12_HUMAN	Rho GTPase activating protein 12(ARHGAP12)	Homo sapiens	
RHG25_HUMAN	Rho GTPase activating protein 25(ARHGAP25)	Homo sapiens	
RHG29_HUMAN	Rho GTPase activating protein 29(ARHGAP29)	Homo sapiens	
RHG32_HUMAN	Rho GTPase activating protein 32(ARHGAP32)	Homo sapiens	
ARHG3_HUMAN	Rho guanine nucleotide exchange factor 3(ARHGEF3)	Homo sapiens	
ARHGI_HUMAN	Rho/Rac guanine nucleotide exchange factor 18(ARHGEF18)	Homo sapiens	
RHXF1_HUMAN	Rhox homeobox family member 1(RHOXF1)	Homo sapiens	
SCAPE_HUMAN	S-phase cyclin A associated protein in the ER(SCAPER)	Homo sapiens	
S10AC_HUMAN	S100 calcium binding protein A12(S100A12)	Homo sapiens	
S10A6_HUMAN	S100 calcium binding protein A6(S100A6)	Homo sapiens	
S10A8_HUMAN	S100 calcium binding protein A8(S100A8)	Homo sapiens	
S10A9_HUMAN	S100 calcium binding protein A9(S100A9)	Homo sapiens	
S100P_HUMAN	S100 calcium binding protein P(S100P)	Homo sapiens	
SLTM_HUMAN	SAFB like transcription modulator(SLTM)	Homo sapiens	
SPDEF_HUMAN	SAM pointed domain containing ETS transcription factor(SPDEF)	Homo sapiens	
SAM50_HUMAN	SAMM50 sorting and assembly machinery component(SAMM50)	Homo sapiens	
SE1L3_HUMAN	SEL1L family member 3(SEL1L3)	Homo sapiens	
